aX,aY,aZ,gX,gY,gZ
0.110,-0.179,-0.987,-35.034,83.862,-66.895
0.106,-0.168,-1.003,-28.931,80.994,-62.439
0.101,-0.158,-1.002,-20.752,78.369,-56.885
0.106,-0.177,-0.989,-15.137,75.134,-51.147
0.128,-0.255,-1.000,-12.878,73.242,-47.974
0.152,-0.305,-0.983,-11.047,70.496,-50.110
0.199,-0.341,-0.935,-12.512,70.068,-53.833
0.263,-0.347,-0.884,-18.616,70.679,-55.725
0.297,-0.359,-0.868,-22.705,68.665,-56.702
0.325,-0.358,-0.868,-23.376,66.101,-57.800
0.317,-0.344,-0.860,-24.841,62.012,-57.495
0.316,-0.325,-0.840,-27.832,56.824,-53.772
0.317,-0.331,-0.840,-28.992,51.514,-47.668
0.247,-0.352,-0.869,-24.719,46.631,-41.687
0.201,-0.377,-0.894,-18.433,44.800,-38.452
0.220,-0.415,-0.895,-15.991,47.424,-37.292
0.241,-0.463,-0.925,-18.127,52.063,-37.598
0.215,-0.471,-0.959,-19.958,56.824,-40.955
0.198,-0.467,-0.966,-22.339,62.134,-46.265
0.219,-0.436,-0.948,-28.381,67.566,-50.720
0.210,-0.408,-0.928,-34.790,70.190,-51.575
0.174,-0.375,-0.907,-37.659,68.542,-49.622
0.132,-0.352,-0.908,-38.574,64.880,-45.959
0.099,-0.346,-0.943,-37.537,59.937,-41.199
0.078,-0.365,-0.976,-34.546,55.115,-36.377
0.066,-0.407,-0.999,-31.616,52.917,-31.860
0.072,-0.474,-1.029,-29.053,53.833,-29.785
0.060,-0.541,-1.070,-25.146,56.946,-33.142
0.040,-0.547,-1.100,-23.376,61.584,-40.771
0.014,-0.519,-1.105,-26.611,67.139,-47.302
0.003,-0.487,-1.094,-31.006,72.998,-48.828
-0.024,-0.457,-1.074,-31.311,76.904,-47.302
-0.083,-0.437,-1.076,-27.954,77.515,-44.067
-0.143,-0.444,-1.118,-22.644,76.721,-40.833
-0.163,-0.464,-1.181,-16.357,78.064,-38.513
-0.190,-0.512,-1.217,-10.986,80.200,-36.926
-0.223,-0.553,-1.214,-9.705,82.764,-35.950
-0.246,-0.585,-1.206,-12.146,85.632,-35.461
-0.274,-0.600,-1.210,-15.686,87.891,-36.865
-0.303,-0.580,-1.213,-16.479,88.989,-40.344
-0.348,-0.556,-1.213,-13.672,89.539,-43.701
-0.387,-0.536,-1.224,-7.935,90.637,-45.471
-0.413,-0.524,-1.229,-0.854,91.919,-46.814
-0.428,-0.522,-1.216,6.470,92.163,-45.898
-0.459,-0.551,-1.223,12.878,91.003,-42.480
-0.476,-0.743,-1.354,33.936,104.858,-43.762
-0.458,-0.800,-1.329,33.081,115.601,-47.241
-0.454,-0.817,-1.299,29.053,122.925,-52.246
-0.468,-0.792,-1.265,25.085,126.160,-58.899
-0.481,-0.754,-1.248,22.339,128.357,-64.331
-0.526,-0.711,-1.256,22.400,131.104,-67.871
-0.524,-0.673,-1.248,26.306,138.550,-70.679
-0.516,-0.665,-1.175,30.273,149.353,-71.899
-0.521,-0.659,-1.113,29.419,159.790,-71.777
-0.507,-0.628,-1.047,23.682,167.847,-74.036
-0.521,-0.572,-1.004,16.174,174.133,-77.026
-0.539,-0.489,-0.975,11.963,179.871,-78.857
-0.540,-0.434,-0.908,12.817,187.134,-78.064
-0.524,-0.425,-0.823,14.709,195.129,-75.134
-0.485,-0.389,-0.731,14.099,201.355,-73.242
-0.456,-0.332,-0.620,11.108,202.942,-72.205
-0.452,-0.269,-0.518,7.019,201.111,-70.068
-0.377,-0.188,-0.439,3.845,199.646,-66.833
-0.363,-0.140,-0.337,3.906,198.242,-60.181
-0.335,-0.110,-0.210,5.493,197.205,-51.208
-0.271,-0.096,-0.057,3.784,193.787,-41.992
-0.230,-0.082,0.089,-2.808,184.753,-31.616
-0.179,-0.056,0.205,-12.268,169.006,-20.325
-0.114,-0.024,0.303,-22.522,148.437,-7.996
-0.051,-0.006,0.394,-31.311,125.305,6.775
0.039,-0.029,0.532,-38.330,101.074,25.208
0.161,-0.061,0.734,-47.302,75.378,48.462
0.286,-0.078,0.979,-63.049,47.974,77.209
0.452,-0.083,1.224,-83.191,18.860,109.009
0.605,-0.128,1.458,-98.145,-13.550,142.517
