aX,aY,aZ,gX,gY,gZ
-0.155,-0.639,-2.549,31.494,-13.733,11.230
-0.167,-0.516,-2.648,50.720,-6.104,7.263
-0.152,-0.401,-2.708,62.317,5.798,2.686
-0.155,-0.292,-2.765,68.787,18.921,-2.014
-0.177,-0.163,-2.864,74.341,33.569,-6.653
-0.187,-0.035,-2.974,82.031,51.208,-12.329
-0.216,0.078,-3.054,89.783,70.313,-13.733
-0.228,0.202,-3.129,95.642,89.355,-10.315
-0.242,0.348,-3.221,103.088,107.422,-6.042
-0.267,0.556,-3.383,110.413,122.925,-2.258
-0.311,0.708,-3.531,114.136,137.939,4.272
-0.327,0.759,-3.569,107.300,159.790,18.799
-0.312,0.748,-3.475,87.769,192.566,37.476
-0.276,0.691,-3.245,64.453,233.643,54.138
-0.208,0.625,-2.848,39.734,279.785,67.993
-0.103,0.572,-2.361,16.113,324.768,79.224
0.002,0.544,-1.893,-7.812,361.755,89.294
0.137,0.517,-1.450,-30.212,391.663,99.304
0.327,0.465,-0.994,-47.180,417.297,110.962
0.519,0.323,-0.435,-54.871,436.646,124.512
0.651,0.079,0.172,-54.382,440.918,133.972
0.838,-0.240,0.853,-59.204,420.959,133.667
1.046,-0.501,1.521,-80.383,377.014,125.854
1.100,-0.487,1.904,-100.403,311.279,113.220
1.203,-0.511,2.075,-94.177,237.610,107.300
1.348,-0.828,2.081,-70.557,155.518,102.966
1.376,-1.025,1.812,-47.546,80.688,98.694
1.492,-1.063,1.401,-18.005,26.672,84.961
1.506,-0.984,1.014,30.457,-12.207,74.280
1.525,-1.054,0.642,89.722,-49.438,61.096
1.455,-0.927,0.217,145.081,-82.092,44.556
1.253,-0.824,-0.235,192.932,-101.868,26.184
1.171,-0.771,-0.613,213.013,-108.948,-0.549
1.028,-0.698,-0.859,194.641,-116.211,-26.062
0.812,-0.540,-1.020,141.052,-123.840,-40.222
0.561,-0.301,-1.166,77.881,-121.704,-42.542
0.354,-0.072,-1.281,33.997,-102.783,-37.292
0.216,0.044,-1.284,20.752,-70.862,-26.672
0.113,0.028,-1.195,23.499,-40.527,-18.555
0.048,-0.015,-1.103,25.574,-20.813,-18.555
0.006,-0.054,-1.048,17.212,-11.169,-22.095
-0.052,-0.052,-1.019,-0.183,-8.667,-24.719
-0.086,-0.041,-0.994,-17.578,-7.935,-25.513
-0.118,-0.045,-0.968,-30.151,-8.240,-25.085
-0.154,-0.063,-0.955,-38.574,-10.132,-23.376
-0.203,-0.088,-0.947,-44.250,-13.367,-20.630
-0.244,-0.132,-0.932,-47.607,-17.578,-17.517
-0.279,-0.161,-0.943,-52.246,-22.156,-14.709
-0.308,-0.155,-0.959,-57.251,-26.733,-12.573
-0.319,-0.162,-0.960,-58.167,-30.029,-10.437
-0.326,-0.181,-0.996,-53.345,-31.006,-9.033
-0.338,-0.188,-1.030,-42.969,-30.518,-8.301
-0.337,-0.170,-1.062,-31.311,-27.893,-7.629
-0.365,-0.262,-1.091,-21.057,-25.085,-7.690
-0.401,-0.308,-1.118,-11.902,-20.325,-4.333
-0.380,-0.362,-1.113,-7.874,-12.756,-2.258
-0.345,-0.402,-1.101,-8.179,-7.874,-2.747
-0.343,-0.402,-1.096,-9.949,-7.629,-4.150
1.036,1.136,0.829,-62.439,-51.453,114.563
1.285,1.155,0.908,-51.392,-108.337,147.217
1.479,1.187,0.849,-34.058,-182.251,180.725
1.683,1.224,0.730,-4.211,-263.489,210.754
1.875,1.214,0.576,34.302,-342.285,238.586
2.041,1.214,0.317,69.458,-414.978,270.935
2.160,1.180,-0.065,96.069,-471.313,308.472
2.277,0.888,-0.362,121.826,-501.648,344.116
2.271,0.320,-0.826,141.907,-495.117,360.840
2.136,-0.294,-1.395,154.236,-453.979,341.064
1.930,-0.714,-1.725,146.484,-391.418,293.213
1.845,-0.981,-1.841,110.718,-324.585,243.225
1.657,-1.040,-1.900,56.396,-266.907,201.843
1.537,-0.991,-1.815,4.150,-228.271,168.457
1.327,-0.849,-1.744,-40.955,-210.083,153.809
1.149,-0.790,-1.742,-72.266,-205.994,148.437
0.962,-0.842,-1.814,-83.740,-203.308,149.902
0.812,-1.015,-1.911,-80.200,-199.158,154.724
0.717,-1.243,-2.012,-72.571,-187.561,156.616
0.599,-1.476,-2.078,-66.406,-172.607,153.625
0.470,-1.647,-2.131,-67.444,-156.189,144.531
0.427,-1.742,-2.156,-74.219,-134.155,129.028
0.451,-1.786,-2.117,-79.285,-108.704,112.671
0.457,-1.810,-2.055,-75.317,-85.815,97.046
0.479,-1.804,-2.013,-63.416,-66.895,80.566
0.483,-1.779,-1.989,-47.729,-55.054,64.331
0.434,-1.723,-1.984,-32.532,-50.232,50.293
0.379,-1.577,-2.022,-20.386,-47.913,37.781
0.296,-1.411,-2.078,-5.981,-47.363,25.818
0.223,-1.231,-2.123,10.254,-44.006,15.686
0.168,-1.048,-2.162,27.649,-35.706,6.836
0.141,-0.853,-2.228,46.692,-25.146,-2.441
0.141,-0.651,-2.336,64.697,-13.977,-12.512
0.133,-0.461,-2.462,77.454,-3.601,-21.912
0.148,-0.245,-2.618,84.473,7.996,-28.198
0.150,-0.052,-2.767,89.050,22.522,-30.518
0.151,0.084,-2.890,92.590,40.100,-27.832
0.165,0.202,-2.988,94.788,62.439,-22.217
0.210,0.356,-3.096,97.961,85.327,-16.541
0.244,0.493,-3.238,103.271,105.530,-10.376
0.269,0.595,-3.386,106.934,123.352,-1.892
0.332,0.632,-3.473,103.821,145.020,10.742
0.394,0.605,-3.451,91.919,171.753,27.527
0.426,0.593,-3.377,69.946,204.102,46.387
0.453,0.580,-3.220,45.471,239.746,61.340
0.489,0.565,-2.997,26.001,275.818,71.289
0.506,0.502,-2.748,9.033,312.073,79.346
0.538,0.430,-2.467,-7.690,350.952,85.083
0.567,0.363,-2.131,-24.292,392.029,85.327
0.620,0.296,-1.731,-44.495,431.702,80.750
0.750,0.240,-1.240,-72.144,463.684,74.219
0.858,0.152,-0.659,-106.384,480.957,67.993
0.934,0.006,-0.002,-143.799,476.074,60.669
1.003,-0.176,0.697,-182.434,442.078,47.729
0.858,-0.130,1.132,-217.712,382.385,35.522
0.552,0.085,1.264,-222.595,327.759,35.156
0.734,-0.154,1.580,-182.251,285.828,33.081
0.751,-0.599,1.857,-125.549,239.136,36.621
0.836,-0.873,1.923,-84.534,200.500,38.635
1.011,-0.770,1.955,-52.246,158.325,44.250
0.922,-0.577,2.036,-4.761,103.638,72.937
0.981,-0.780,2.169,50.842,36.804,104.370
1.035,-1.016,1.943,84.167,-52.612,110.962
1.043,-1.053,1.382,94.543,-135.010,101.501
1.019,-1.022,0.702,102.722,-183.167,79.407
0.985,-0.883,0.026,119.812,-187.927,52.185
0.916,-0.728,-0.470,147.217,-163.147,27.527
0.811,-0.598,-0.798,169.312,-129.517,9.949
0.708,-0.507,-1.010,174.316,-100.220,-9.277
0.553,-0.340,-1.161,160.034,-80.017,-26.550
0.425,-0.136,-1.280,133.240,-65.552,-38.025
0.260,0.020,-1.358,104.431,-55.969,-42.480
0.102,0.115,-1.398,76.416,-48.584,-39.917
-0.012,0.146,-1.386,52.185,-40.833,-35.095
-0.095,0.128,-1.344,31.494,-34.424,-30.457
-0.182,0.098,-1.295,13.123,-29.724,-25.391
-0.256,0.092,-1.264,-2.014,-23.682,-22.034
-0.287,0.092,-1.221,-12.329,-15.076,-21.606
-0.303,0.069,-1.151,-20.813,-7.507,-20.569
-0.331,0.055,-1.081,-28.687,-3.662,-18.616
-0.387,0.052,-1.041,-34.241,-2.075,-15.503
-0.426,0.021,-1.000,-36.499,0.610,-11.169
-0.453,-0.016,-0.975,-34.485,3.174,-6.958
-0.469,-0.074,-0.967,-29.663,5.005,-3.662
-0.465,-0.148,-0.982,-25.757,4.456,-2.075
-0.457,-0.210,-1.002,-24.109,1.465,-2.380
-0.454,-0.237,-1.039,-25.696,-2.991,-3.174
-0.457,-0.244,-1.095,-29.785,-7.019,-3.357
-0.442,-0.257,-1.147,-33.813,-8.728,-3.235
